ID	Name	Issuer	Type	Closed_On	Expected_Reopen	Reopen_Confidence	Why_It_Matters	Fit_1_5	Last_Checked	URL	Notes
W-0011	Premio de Investigacion del Instituto de Neurociencias Federico Oloriz (UGR) - edicion 2026	Instituto de Neurociencias Federico Oloriz, Universidad de Granada	PRIZE	2026-06-06	Mayo-junio de 2027 (la edicion 2026 cerro el viernes 05-06-2026), con ventana de solo 30 dias naturales.	LIKELY	Un premio real y de baja competencia al que puede optar COMO DOCTORANDA ACTUAL: la convocatoria admite a quien solo esta matriculada en doctorado, es de ambito nacional y no se restringe a la UGR. 1250 euros mas una conferencia invitada son una linea de CV citable para alguien con un expediente todavia fino, y si alguno de sus dos manuscritos se publica en 2026 quedaria dentro de la ventana elegible de las ediciones de 2027 y 2028.	4	2026-09-21	https://ineurociencias.ugr.es/instituto/noticias/premio-instituto-neurociencias-2026	Comprobado el 21-09-2026 en el indice de noticias del Instituto (ineurociencias.ugr.es/instituto/noticias, HTTP 200): las unicas entradas del premio siguen siendo la CONVOCATORIA 2026 y su RESOLUCION DEFINITIVA; no hay convocatoria 2027 ni anuncio de fechas, que es exactamente lo esperado a estas alturas del ano. Se mantiene la estimacion de mayo-junio de 2027 con ventana de solo 30 dias naturales (la edicion 2026 cerro el viernes 05-06-2026), y por eso esta fila hay que mirarla SIN FALTA en todas las pasadas de abril a junio de 2027: es la que mas facil se escapa. Elegibilidad ya verificada y favorable: 1.250 EUR, premio unico, articulo publicado en 2023-2025 y abierta a PREDOCTORALES matriculadas, o sea que puede optar sin haber defendido. Ver F-0030.
W-0012	Becas de Investigacion de la SES (Sociedad Espanola de Sueno)	Sociedad Espanola de Sueno (SES)	POSTDOC_FELLOWSHIP	2026-01-25	Apertura hacia noviembre-diciembre de 2026 y cierre hacia el 25-01-2027, por el patron de la edicion 2026.	HIGH	El unico financiador espanol y en castellano para su linea de sueno: hasta 10000 euros por proyecto de un fondo de 20000, mas una beca especial de 10000 para investigadores jovenes, para proyectos de 1 a 3 anos sobre fisiologia o patologia del sueno. Competencia baja en relacion con todo lo demas de esta rama y financiable desde dentro de Espana mientras sigue atada a Malaga.	3	2026-09-21	https://ses.org.es/blog-post/becas-2022-2-5-3-2/	Comprobado el 21-09-2026: el tablon de la SES SIGUE rotulando la edicion 2026 de las Becas de Investigacion como 'CONVOCATORIA ABIERTA' ocho meses despues de su cierre real del 25-01-2026, junto con la Ayuda para la Investigacion y el Intercambio de Conocimiento y el Premio Joaquin Teran y Mari Luz Alonso. QUEDA CONFIRMADO POR SEGUNDA PASADA CONSECUTIVA QUE EL ROTULO DEL TABLON NO SIRVE: el estado se saca del PDF de bases, nunca de la etiqueta. El desplegable de anos de la pagina solo llega hasta 2026, es decir NO hay todavia bloque 2027. Sigue en pie la regla de antiguedad verificada: ser miembro de la SES desde al menos un ano antes de la convocatoria, lo que obliga a darse de alta ya si quiere optar en 2027 o 2028 (ver SUB-0008).
W-0013	ESRS Meetings and Courses Fellowship	European Sleep Research Society (ESRS)	CAREER_DEVELOPMENT	2026-01-31	~finales de 2026, con plazo ~31 de enero de 2027	LOW-MEDIUM	Es el instrumento propio de desarrollo de carrera de la ESRS, dirigido explicitamente a 'junior candidates in the early stages of their career in sleep research' y abierto a cientificas y clinicas por igual, lo que encaja con una medica que hace genetica del sueno. Financia asistencia a congresos y cursos.	2	2026-08-31	https://esrs.eu/grants-awards/meetings-and-courses-fellowship/	Sin verificar por CUARTA pasada consecutiva y se toma una decision para dejar de gastar presupuesto: esrs.eu devuelve 403 de forma estable y no se ha reintentado hoy. DECISION: esta fila se declara NO VERIFICABLE POR VIA AUTOMATICA. A partir de ahora no se gastan llamadas en esrs.eu; la fecha se dara por buena solo si aparece en una fuente distinta (boletin de la ESRS, programa del congreso, o la propia duena abriendo la pagina en un navegador). La mejor estimacion disponible sigue siendo un plazo hacia el 31 de enero de 2027 por analogia con el ciclo cerrado el 31-01-2026, leido en cache de buscador y por tanto UNVERIFIED. Fit 2: aunque se verificase, no cambia gran cosa. NOTA: no se toca Last_Checked porque hoy NO se ha comprobado nada.
W-0014	One Mind Rising Star Awards 2026	One Mind	CAREER_DEVELOPMENT	2026-04-27	Convocatoria hacia febrero-abril de 2027 con cierre a finales de abril de 2027. CORRECCION: el ciclo 2026 cerro el 27-04-2026 a las 21:00 PT, no en marzo como estimaba la siembra.	HIGH	300000 dolares para investigacion de inicio de carrera en salud mental: la mayor cuantia individual de esta rama y tematicamente en el centro de su linea 2, con atencion especial a la psiquiatria de precision. Merece seguimiento a largo plazo aunque no pueda entrar en muchos anos.	1	2026-08-31	https://onemind.org/what-we-do/one-mind-rising-star-academy/one-mind-rising-star-awards/	VERIFICADA POR PRIMERA VEZ EN TIER 1 Y LA FILA CAMBIA DE NATURALEZA: NO LE SIRVE, NI EN 2027 NI PREVISIBLEMENTE NUNCA A CORTO PLAZO. Exige institucion u organizacion ESTADOUNIDENSE, nombramiento independiente como Assistant o Associate Professor con hasta 8 anos desde ese nombramiento, y nominacion institucional firmada por un cargo del decanato o de programas de investigacion. Nada de eso le aplica ni le aplicara en el horizonte de este radar. Datos del ciclo 2026: notificacion 13-08-2026, inicio mas temprano 01-01-2027, 300.000 USD en 3 anos, cinco premios. SE RECOMIENDA DEJAR DE GASTAR PRESUPUESTO EN ELLA cada pasada: queda documentada como inelegible estructural.
W-0015	MSCA Postdoctoral Fellowships - convocatoria 2027 (HORIZON-MSCA-2027-PF-01-01) y el acantilado posterior	Comision Europea / REA	Postdoctoral fellowship		Lanzamiento 2027-04-07 y cierre 2027-09-08, ambos marcados TBC en la propia pagina oficial; 388,57 M EUR. Es la ULTIMA convocatoria del marco financiero actual (Horizonte Europa cubre 2021-2027) y no hay certeza de que exista una PF con estas reglas en 2028: dependeria de FP10, sin diseno ni calendario fijados.	LIKELY	Decide si su primera MSCA posible existe siquiera. Con defensa en febrero de 2028 no llega al cierre del 08-09-2027; si adelantara la defensa a antes de esa fecha entraria, porque la regla exige haber defendido y no tener el titulo expedido. Es la unica pieza del radar que puede cambiar el calendario de su tesis.	3	2026-09-21	https://marie-sklodowska-curie-actions.ec.europa.eu/funding/msca-postdoctoral-fellowships-2027	VERIFICADO HOY EN TIER 1 (pagina oficial de la MSCA, HTTP 200 por curl) y sin cambios respecto de la pasada anterior: 'Indicative timeline: 7 April 2027 launch of the call for proposals (TBC); 8 September 2027 deadline for submitting proposals (TBC); February 2028 notification of call results (TBC); April 2028 grant agreement signature (TBC); May 2028 first EU-funded projects start (TBC)'. Presupuesto indicativo 388,57 M EUR (TBC). Todo sigue marcado TBC, por eso la confianza se queda en LIKELY y no sube a VERIFIED para las fechas. SIGUE SIENDO INFERENCIA, no dato oficial, que 2027 sea la ultima convocatoria del marco: procede de Tier 2 (Horizon Europe NCP Portal, enlargement-infohub) y es coherente con que Horizonte Europa cubra 2021-2027, pero no aparece en la pagina oficial. Relevancia para ella: con defensa en febrero de 2028, un cierre en septiembre de 2027 le exigiria presentarse ANTES de doctorarse, cosa que la MSCA PF no permite, luego esta convocatoria le queda fuera salvo que la defensa se adelante; el riesgo real es que no haya PF equivalente en 2028 bajo FP10.
W-0016	EMBO Postdoctoral Fellowships - ronda de otono de 2027	EMBO	Postdoctoral fellowship		Corte el 2027-07-09 a las 14:00 CEST. Los cortes son el 4o viernes de enero y el 2o viernes de julio; el segundo viernes de julio de 2027 es el dia 9.	LIKELY	Es la PRIMERA ronda sin derecho a resolicitud ('Effective from the Autumn 2027 selection round, i.e. for all applications submitted after January 22, 2027, 14:00 CET, re-applications will no longer be permitted'). Solo tendra un disparo en la vida, asi que conviene no gastarlo antes de tener la publicacion resuelta.	4	2026-09-21	https://www.embo.org/funding/fellowships-grants-and-career-support/postdoctoral-fellowships/	Leida hoy la pagina Tier 1 de EMBO (HTTP 200 por curl): 'Applications accepted throughout the year (next cutoff date - hard deadline: Friday 22 January 2027, 14:00 CET)'. Eso confirma la regla del 4o viernes de enero, de modo que el 09-07-2027 (2o viernes de julio) sigue siendo una derivacion aritmetica correcta, pero NO una fecha publicada: EMBO solo publica el corte inmediato. CAMBIO DE REGLA NUEVO Y MUY RELEVANTE, citado literalmente: 'Effective from the Autumn 2027 selection round (i.e., for all applications submitted after January 22, 2027, 14:00 CET), re-applications will no longer be permitted. Researchers may submit only one EMBO Fellowship Proposal.' Es decir, a partir del corte de julio de 2027 solo tendra UN intento en toda su carrera, asi que la solicitud no se puede usar como ensayo. Guidelines vigentes: junio de 2026. El desbloqueo real sigue sin ser la fecha sino la publicacion (ver F-0008).
W-0017	Becas de Investigacion SES - edicion 2027	Sociedad Espanola de Sueno (SES)	Research project grant		Apertura hacia noviembre-diciembre de 2026 y cierre hacia el 2027-01-25 (las bases de 2026 se subieron en noviembre de 2025 con cierre el 25 de enero).	HIGH	Su reloj no es el plazo sino la MEMBRESIA: las bases exigen ser socia de la SES desde al menos un ano antes de la convocatoria. Si se da de alta en septiembre de 2026 NO llega a la edicion de 2027 y entra justo para la de 2028. Ademas, en la edicion de enero de 2027 cumpliria exactamente la clausula del medico residente en ultimo ano, y esa coincidencia se pierde por la antiguedad.	4	2026-09-21	https://ses.org.es/becas-y-premios/	Comprobado el 21-09-2026: en ses.org.es/becas-y-premios/ el desplegable de anos llega solo hasta 2026, no hay bloque 2027 y no hay bases nuevas, lo que es coherente con una apertura en noviembre-diciembre de 2026 y cierre hacia el 25-01-2027 (las bases de 2026 se subieron en noviembre de 2025). Estimacion sin cambios y confianza HIGH. AVISO PERMANENTE REFORZADO HOY: el tablon de la SES no retira el rotulo 'CONVOCATORIA ABIERTA' al vencer el plazo y hoy sigue mostrando como abiertas las tres convocatorias de 2026 ya vencidas; el estado se saca siempre del PDF de bases. ACCION CON RELOJ: la regla de antiguedad exige ser socia desde al menos un ano antes de la convocatoria, asi que para la edicion de enero de 2028 tendria que darse de alta antes de enero de 2027.
W-0018	Convocatorias anuales de la AEGH (estancia profesional, bolsas de viaje y premio joven)	Asociacion Espanola de Genetica Humana (AEGH)	Travel grants, short stays and prizes		YA HAY UNA REAPERTURA: la Beca Nacional de la AEGH para asistir a la ESHG 2027 se publico el 18-09-2026 y cierra el 15-11-2026 a las 23:59. El resto del paquete anual sigue estimado: premio joven y bolsas de viaje, convocatoria a mediados de enero de 2027 y cierre hacia el 2027-02-15; beca de estancia profesional, convocatoria hacia febrero de 2027 y cierre hacia el 2027-03-31.	HIGH	Tres ayudas distintas de la misma sociedad, todas con competencia LOW o MEDIUM, y todas cerradas por el mismo requisito: 2 anos de antiguedad como socia. Darse de alta ahora las abre a partir de 2028. Es una decision con tres retornos.	3	2026-09-21	https://aegh.org/blog-2/	NOVEDAD REAL DE ESTA PASADA, verificada en Tier 1 el 21-09-2026 (aegh.org/beca-eshg-2027-para-asistir-a-la-eshg-2027/, publicada el 18-09-2026): la AEGH puede nominar a una persona para la 'Beca Nacional' del ESHG 2027 (Rotterdam, 12-15 de junio de 2027). Requisitos textuales: ser miembro activo de la AEGH con antiguedad continuada superior a dos anos a fecha de la convocatoria; haber demostrado excelencia en genetica humana y/o haber presentado comunicacion o poster en el ultimo Congreso Interdisciplinar de Genetica Humana celebrado en Granada; no tener mas de 4 anos de experiencia laboral postuniversitaria; no haber recibido la beca en la convocatoria ESHG 2026; y tener membresia valida de la ESHG para 2027. Beneficios: inscripcion gratuita al congreso con almuerzos y 600 EUR de viaje. Documentacion a aegh@geyseco.es: CV abreviado con foto indicando fecha de graduacion, resumen de la comunicacion de Granada con todos los firmantes y certificacion de su aceptacion. Resolucion por la Junta Directiva, inapelable. LECTURA PARA ELLA: casi con seguridad NO llega a esta edicion, porque el filtro duro es la antiguedad de socia de mas de dos anos a fecha de convocatoria y no consta que sea socia de la AEGH (ver SUB-0010, aun TODO); ademas hace falta comunicacion en el congreso de Granada. El criterio de 'no mas de 4 anos de experiencia laboral postuniversitaria' es ambiguo en su caso (MD en 2019, pero residencia desde el 22-05-2023, o sea unos 3,5 anos en noviembre de 2026) y conviene preguntarlo por secretaria. CONSECUENCIA ACCIONABLE: darse de alta en la AEGH AHORA es lo que abre esta beca y el resto del paquete AEGH para las ediciones de 2028 y 2029. El resto de convocatorias anuales de la AEGH (premio joven, bolsas de viaje, estancia profesional) siguen sin publicarse para 2027, y la AEGH sigue sin publicar bases completas en PDF: solo las envia por secretaria@aegh.org.
W-0019	Convocatorias anuales de la SENC (travel grants y premio Rita Levi-Montalcini)	Sociedad Espanola de Neurociencia (SENC)	Travel grants and student prize		Calendario de travel grants publicado hacia finales de diciembre de 2026 (el de 2026 salio el 23-12-2025), con FENS/ENCODS cerrando el 31 de enero y SfN abriendo el 10 de abril. Premio Rita Levi-Montalcini: apertura hacia el 10-04-2027 y cierre hacia el 10-06-2027, asociado al congreso bienal de 2027.	MEDIUM	El premio Rita Levi-Montalcini esta RESERVADO A DOCTORANDAS y el bienal de 2027 caeria hacia septiembre de 2027, con ella todavia predoctoral: es probablemente su ultima ventana. Las travel grants, en cambio, exigen 2 anos de antiguedad como socia y no las alcanza hasta agosto de 2028.	4	2026-09-21	https://www.senc.es/ayudas-de-la-senc/	Comprobado el 21-09-2026 en senc.es/ayudas-de-la-senc/ (HTTP 200): la pagina solo lista todavia el ciclo 2026 (convocatoria y resolucion de Becas SENC para SfN 2026, convocatoria y resolucion de ayudas de viaje para FENS y ENCODS 2026) y las de SENC 2025; NO hay calendario 2027. Coherente con la estimacion de publicacion hacia finales de diciembre de 2026 (el calendario de 2026 salio el 23-12-2025), con FENS/ENCODS cerrando el 31 de enero y SfN abriendo el 10 de abril. Se mantiene MEDIUM. PENDIENTE QUE SIGUE SIN RESOLVERSE y que conviene atacar en la pasada de finales de diciembre: abrir el PDF 'Requisitos para solicitudes de ayudas y becas SENC' y averiguar si la regla de dos anos consecutivos de socia se aplica tambien a los premios (Rita Levi-Montalcini, Tatiana Foundation Young Investigator) o solo a las ayudas de viaje; de eso depende que su mejor premio de predoctoral sea accesible en 2027. Fechas y sede del congreso bienal SENC 2027 siguen sin confirmar.
W-0020	Contratos postdoctorales de la Junta de Andalucia (Linea 2, EIDIA) - edicion 2027	Consejeria de Universidad, Investigacion e Innovacion - Junta de Andalucia	Regional postdoctoral contract		Apertura hacia el 2026-12-20 y cierre hacia el 2027-01-28. El patron oscila entre diciembre y febrero (Res. 17-12-2025 para la edicion 2026; Res. 21-02-2024 para la de 2024).	MEDIUM	Es la unica via autonomica sin requisito de movilidad exterior, y por tanto la unica compatible con su historial. La edicion decisiva para ella es la de enero de 2029; la de enero de 2028 cae semanas antes de su defensa prevista y la pierde por muy poco.	4	2026-09-21	https://www.juntadeandalucia.es/boja/	Comprobado el 21-09-2026 sin resultado util y con un bloqueo NUEVO que conviene registrar: el buscador del BOJA (juntadeandalucia.es/boja/buscador/) responde 200 pero devuelve solo el armazon de la pagina cuando se le pasa la consulta por GET, es decir la busqueda se ejecuta por POST o por JavaScript y NO es utilizable desde linea de comandos; y juntadeandalucia.es/boja/2026/ es solo un indice de boletines por fecha, sin busqueda por texto. Es decir, el BOJA es HTML plano para leer un boletin concreto, pero NO para buscar. VIA RECOMENDADA PARA LA PASADA DE DICIEMBRE: ir al indice de boletines por fecha del BOJA en los dias habiles alrededor del 17-22 de diciembre de 2026, o buscar el extracto en la BDNS. Nada ha cambiado en la estimacion: apertura hacia el 2026-12-20 y cierre hacia el 2027-01-28 (Res. 17-12-2025 para la edicion 2026, extracto en BOJA num. 246 de 23-12-2025; Res. 21-02-2024 para la de 2024). Sigue pendiente extraer de la Orden de bases de 24-10-2023 la ventana de anos post-doctorado, que es el dato que falta para puntuar bien F-0052.
W-0021	Ayudas a Proyectos de la Fundacion Alicia Koplowitz - convocatoria 2027	Fundacion Alicia Koplowitz	Research project grant		Bases publicadas hacia enero de 2027 y cierre hacia el 2027-04-30 (XXI convocatoria consecutiva; las bases de 2026 se publicaron en enero con cierre el 30 de abril).	HIGH	El encaje tematico con neurociencias infanto-juveniles es de los mejores de la base, pero la clausula 'El investigador Principal no podra estar cursando la residencia MIR ni PIR' la deja fuera como IP en 2027, con el MIR vivo hasta el 22-05-2027. Su primera edicion como IP es la de 2028. Puede entrar como colaboradora en 2027.	3	2026-09-21	https://fundacionaliciakoplowitz.org/lineas-de-accion/ayudas-investigacion/	Comprobado el 21-09-2026 en Tier 1 (fundacionaliciakoplowitz.org, HTTP 200 por curl): la pagina de Ayudas a Proyectos de Investigacion sigue ofreciendo unicamente 'AYUDAS A PROYECTOS DE INVESTIGACION 2026 - Bases - Formulario de solicitud'; NO hay bases de 2027. Es exactamente lo esperado y la estimacion se mantiene sin tocar: bases hacia enero de 2027 y cierre hacia el 2027-04-30, con confianza HIGH (las de 2026 se publicaron en enero con cierre el 30 de abril). Las URL de los PDF de bases siguen siendo predecibles: /wp-content/uploads/AAAA/MM/Bases_... Pendiente para otra pasada, sin avance hoy: las 'Ayudas de Formacion' de la misma fundacion, que segun Tier 2 incluyen estancias de 6-12 meses en el extranjero.
W-0022	III Convocatoria de Becas Fulbright-Fundacion Seneca de investigacion posdoctoral en EE. UU.	Fundacion Seneca (Region de Murcia) y Comision Fulbright Espana	Bilateral postdoctoral fellowship		Septiembre de 2026 sigue siendo la ventana esperada y queda una semana de mes; a 21-09-2026 NO se ha podido confirmar que la III convocatoria este abierta ni localizar fecha de cierre. Figura listada en el catalogo 'CONVOCATORIAS 2026 - Talento Investigador y su Empleabilidad' de la Fundacion Seneca, pero sin pagina de detalle accesible.	MEDIUM: listada en el catalogo 2026, pero sin texto, sin fechas y sin confirmacion de apertura; baja desde LIKELY porque septiembre se agota sin senal verificable	Es la unica via a EE. UU. que sortea la barrera de ciudadania que hunde la NIH F32 (F-0015), porque el visado J-1 lo gestiona Fulbright. Exige doctorado, asi que no antes de 2028, pero las bases de esta III convocatoria fijan la ventana de anos y la definicion de 'vinculacion con la Region de Murcia', que es lo que decide si le sirve.	3	2026-09-21	https://fseneca.es/web/convocatorias	Comprobado el 21-09-2026 con curl, que efectivamente sortea el 503 de WebFetch: fseneca.es/web/convocatorias responde 200 y lista 'III Convocatoria de Becas Fulbright-Fundacion Seneca de investigacion posdoctoral en los Estados Unidos' dentro del bloque CONVOCATORIAS 2026. PERO el enlace se construye por JavaScript y no hay href en el HTML; fseneca.es/web/convocatorias-abiertas responde 200 con el cuerpo VACIO por la misma razon; y la pagina del programa en la Comision Fulbright Espana (fulbright.es/programas-y-becas/convocatorias/programa-con-la-fundacion-seneca-region-de-murcia/2026/1955/) responde 200 pero devuelve 'Whoops, no result found'. Conclusion honesta: catalogada si, abierta no confirmada, sin fecha de cierre. AVISO DE ELEGIBILIDAD, PROBABLEMENTE DECISIVO Y PENDIENTE DE VERIFICAR EN LAS BASES DE LA III: segun el resumen del PDF oficial de la II convocatoria alojado en fulbright.es, el programa se dirige a personal docente y/o investigador con vinculacion funcionarial o contractual con universidades y organismos de investigacion DE LA REGION DE MURCIA, a tiempo completo y en servicio activo, y exige carta de invitacion previa del centro estadounidense, para estancias de 9 a 12 meses. Ella no tiene vinculacion contractual con un organismo murciano (su contrato de residencia es del Hospital Regional Universitario de Malaga; su vinculo con la Universidad de Murcia es como doctoranda) y ademas la beca es posdoctoral. Si las bases de la III mantienen ese requisito, esta convocatoria NO le sirve y habria que bajarla de golpe. Es lectura de Tier 2 sobre un PDF Tier 1 que no se pudo extraer (no hay pdftotext en este entorno), asi que queda como aviso, no como hecho.
